"groupRef","entryRef","entryDistribution","groupTier","priority"
"","mp_weapon_mastiff_blueset",5,0,0
"","mp_weapon_r97_blueset",5,0,0
"","mp_weapon_pdw_blueset",5,0,0
"","mp_weapon_vinson_blueset",10,0,0
"","mp_weapon_hemlok_blueset",2,0,0
"","mp_weapon_rspn101_blueset",10,0,0
"","mp_weapon_energy_ar_blueset",10,0,0
"","mp_weapon_esaw_blueset",10,0,0
"","mp_weapon_lmg_blueset",10,0,0
"","mp_weapon_dmr_blueset",10,0,0
"","mp_weapon_doubletake_blueset",10,0,0
"","mp_weapon_sentinel_blueset",5,0,0
"","mp_weapon_defender_blueset",15,0,0
"","mp_weapon_volt_smg_blueset",10,0,0
"","mp_weapon_bow_blueset",5,0,0
"","mp_weapon_nemesis_blueset",15,0,0
"","mp_weapon_dragon_lmg_blueset",10,0,0
"","mp_weapon_car_blueset",10,0,0
"","",0,0,0
"control_purple_kitted_weapons","",0,0,0
"","mp_weapon_wingman_purpleset",5,0,0
"","mp_weapon_semipistol_akimbo_purpleset",2,0,0
"","mp_weapon_autopistol_fusion_purpleset",5,0,0
"","mp_weapon_shotgun_pistol_akimbo_purpleset",2,0,0
"","mp_weapon_shotgun_purpleset",2,0,0
"","mp_weapon_alternator_smg_purpleset",5,0,0
"","mp_weapon_g2_purpleset",5,0,0
"","mp_weapon_energy_shotgun_purpleset",5,0,0
"","mp_weapon_mastiff_purpleset",5,0,0
"","mp_weapon_r97_purpleset",5,0,0
"","mp_weapon_pdw_purpleset",5,0,0
"","mp_weapon_vinson_purpleset",10,0,0
"","mp_weapon_hemlok_purpleset",2,0,0
"","mp_weapon_rspn101_purpleset",10,0,0
"","mp_weapon_energy_ar_purpleset",10,0,0
"","mp_weapon_esaw_purpleset",10,0,0
"","mp_weapon_lmg_purpleset",10,0,0
"","mp_weapon_dmr_purpleset",10,0,0
"","mp_weapon_doubletake_purpleset",10,0,0
"","mp_weapon_sentinel_purpleset",5,0,0
"","mp_weapon_defender_purpleset",15,0,0
"","mp_weapon_volt_smg_purpleset",10,0,0
"","mp_weapon_bow_purpleset",5,0,0
"","mp_weapon_nemesis_purpleset",15,0,0
"","mp_weapon_dragon_lmg_purpleset",10,0,0
"","mp_weapon_car_purpleset",10,0,0
"","",0,0,0
"control_gold_kitted_weapons","",0,0,0
"","mp_weapon_wingman_gold",5,0,0
"","mp_weapon_semipistol_akimbo_gold",2,0,0
"","mp_weapon_autopistol_fusion_gold",5,0,0
"","mp_weapon_shotgun_pistol_akimbo_gold",2,0,0
"","mp_weapon_shotgun_gold",2,0,0
"","mp_weapon_alternator_smg_gold",5,0,0
"","mp_weapon_g2_gold",5,0,0
"","mp_weapon_energy_shotgun_gold",5,0,0
"","mp_weapon_mastiff_gold",5,0,0
"","mp_weapon_r97_gold",5,0,0
"","mp_weapon_pdw_gold",5,0,0
"","mp_weapon_vinson_gold",10,0,0
"","mp_weapon_auto_hemlok_gold",2,0,0
"","mp_weapon_rspn101_gold",10,0,0
"","mp_weapon_energy_ar_gold",10,0,0
"","mp_weapon_esaw_gold",10,0,0
"","mp_weapon_lmg_gold",10,0,0
"","mp_weapon_dmr_gold",10,0,0
"","mp_weapon_doubletake_gold",10,0,0
"","mp_weapon_sentinel_gold",10,0,0
"","mp_weapon_defender_gold",15,0,0
"","mp_weapon_volt_smg_gold",10,0,0
"","mp_weapon_bow_gold",5,0,0
"","mp_weapon_nemesis_gold",15,0,0
"","mp_weapon_dragon_lmg_gold",10,0,0
"","mp_weapon_car_gold",10,0,0
"","",0,0,0
"control_airdrop_left","",0,0,0
"","control_purple_kitted_weapons",0,0,0
"","control_gold_kitted_weapons",20,0,0
"","crate_weapons_earlygame",20,0,0
"","crate_weapons_midgame",10,0,0
"","crate_weapons_lategame",5,0,0
"","armor_pickup_lv3",10,0,0
"","helmet_pickup_lv3",0,0,0
"","armor_pickup_lv4_all_fast",5,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","mp_ability_redeploy_balloon",30,0,0
"","",0,0,0
"control_airdrop_right","",0,0,0
"","control_purple_kitted_weapons",0,0,0
"","control_gold_kitted_weapons",0,0,0
"","crate_weapons_earlygame",0,0,0
"","crate_weapons_midgame",0,0,0
"","crate_weapons_lategame",0,0,0
"","armor_pickup_lv3",25,0,0
"","helmet_pickup_lv3",15,0,0
"","armor_pickup_lv4_all_fast",40,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","",0,0,0
"control_airdrop_center","",0,0,0
"","control_purple_kitted_weapons",0,0,0
"","control_gold_kitted_weapons",30,0,0
"","crate_weapons_earlygame",0,0,0
"","crate_weapons_midgame",20,0,0
"","crate_weapons_lategame",50,0,0
"","armor_pickup_lv3",0,0,0
"","helmet_pickup_lv3",0,0,0
"","armor_pickup_lv4_all_fast",0,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","",0,0,0
"control_carepackage_left_tier_1","",0,0,0
"","armor_pickup_lv1",100,0,0
"","control_blue_kitted_weapons",0,0,0
"","",0,0,0
"control_carepackage_right_tier_1","",0,0,0
"","helmet_pickup_lv1",100,0,0
"","control_blue_kitted_weapons",0,0,0
"","",0,0,0
"control_carepackage_center_tier_1","",0,0,0
"","helmet_pickup_lv1",10,0,0
"","armor_pickup_lv1",30,0,0
"","helmet_pickup_lv2",10,0,0
"","armor_pickup_lv2",20,0,0
"","health_pickup_combo_small",0,0,0
"","control_blue_kitted_weapons",0,0,0
"","control_ordnance",0,0,0
"","mp_ability_redeploy_balloon",30,0,0
"","",0,0,0
"control_carepackage_left_tier_2","",0,0,0
"","armor_pickup_lv2",100,0,0
"","control_purple_kitted_weapons",0,0,0
"","",0,0,0
"control_carepackage_right_tier_2","",0,0,0
"","helmet_pickup_lv2",100,0,0
"","control_purple_kitted_weapons",0,0,0
"","",0,0,0
"control_carepackage_center_tier_2","",0,0,0
"","helmet_pickup_lv2",10,0,0
"","armor_pickup_lv2",20,0,0
"","helmet_pickup_lv3",15,0,0
"","armor_pickup_lv3",25,0,0
"","health_pickup_combo_small",0,0,0
"","control_purple_kitted_weapons",0,0,0
"","control_ordnance",0,0,0
"","mp_ability_redeploy_balloon",30,0,0
"","",0,0,0
"control_carepackage_left_tier_3","",0,0,0
"","armor_pickup_lv3",100,0,0
"","control_gold_kitted_weapons",0,0,0
"","",0,0,0
"control_carepackage_right_tier_3","",0,0,0
"","helmet_pickup_lv3",100,0,0
"","control_gold_kitted_weapons",0,0,0
"","",0,0,0
"control_carepackage_center_tier_3","",0,0,0
"","armor_pickup_lv3",15,0,0
"","helmet_pickup_lv3",25,0,0
"","armor_pickup_lv4_all_fast",15,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","health_pickup_combo_small",0,0,0
"","control_gold_kitted_weapons",0,0,0
"","control_ordnance",0,0,0
"","mp_ability_redeploy_balloon",30,0,0
"","",0,0,0
"control_carepackage_left_tier_4","",0,0,0
"","armor_pickup_lv4_all_fast",100,0,0
"","crate_weapons_lategame",0,0,0
"","",0,0,0
"control_carepackage_right_tier_4","",0,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","crate_weapons_lategame",0,0,0
"","control_gold_kitted_weapons",0,0,0
"","mp_ability_redeploy_balloon",100,0,0
"","",0,0,0
"control_carepackage_center_tier_4","",0,0,0
"","armor_pickup_lv4_all_fast",50,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","health_pickup_combo_small",0,0,0
"","crate_weapons_lategame",0,0,0
"","control_gold_kitted_weapons",0,0,0
"","control_ordnance",0,0,0
"","mp_ability_redeploy_balloon",30,0,0
"","",0,0,0
"control_ordnance","",0,0,0
"","mp_weapon_thermite_grenade",35,0,0
"","mp_weapon_frag_grenade",30,0,0
"","mp_weapon_grenade_emp",35,0,0
"","",0,0,0
"control_mrb_event_airdrop_left","",0,0,0
"","armor_pickup_lv4_all_fast",90,0,0
"","armor_pickup_lv3",10,0,0
"","",0,0,0
"control_mrb_event_airdrop_right","",0,0,0
"","control_gold_kitted_weapons",20,0,0
"","crate_weapons_lategame",30,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","",0,0,0
"control_mrb_event_airdrop_center","",0,0,0
"","mp_ability_mobile_respawn_beacon",100,0,0
"","",0,0,0
"lifeline_tt_medbay_loot","",0,0,0
"","armor_pickup_lv3_evolving",1,0,0
"","backpack_pickup_lv3",1,0,0
"","augments",1,0,0
"","",0,0,0
"secret_bin_attachments","",0,0,0
"","optic_cq_hcog_classic",7,0,0
"","optic_cq_hcog_bruiser",3,0,0
"","optic_cq_holosight_variable",4,0,0
"","optic_ranged_hcog",1,0,0
"","optic_ranged_aog_variable",3,0,0
"","optic_sniper",3,0,0
"","optic_sniper_variable",3,0,0
"","optic_cq_threat",0,0,0
"","bullets_mag_l2",5,0,0
"","bullets_mag_l3",3.5,0,0
"","bullets_mag_l4",0.25,0,0
"","highcal_mag_l2",5,0,0
"","highcal_mag_l3",3.5,0,0
"","highcal_mag_l4",0.25,0,0
"","energy_mag_l2",5,0,0
"","energy_mag_l3",3.5,0,0
"","energy_mag_l4",0.25,0,0
"","sniper_mag_l2",3.5,0,0
"","sniper_mag_l3",2.5,0,0
"","sniper_mag_l4",0.25,0,0
"","shotgun_bolt_l2",4,0,0
"","shotgun_bolt_l3",3,0,0
"","shotgun_bolt_l4",0.25,0,0
"","stock_tactical_l2",5,0,0
"","stock_tactical_l3",2.5,0,0
"","stock_sniper_l2",4,0,0
"","stock_sniper_l3",2,0,0
"","stock_sniper_l4",0.25,0,0
"","laser_sight_l2",5,0,0
"","laser_sight_l3",2,0,0
"","laser_sight_l4",0.25,0,0
"","barrel_stabilizer_l2",5,0,0
"","barrel_stabilizer_l3",1.5,0,0
"","Hopup_Purple",0,0,0
"","Hopup_Gold",2,0,0
"","",0,0,0
"close_optics","",0,0,0
"","optic_cq_hcog_classic",20,0,0
"","optic_cq_hcog_bruiser",20,0,0
"","optic_cq_holosight_variable",20,0,0
"","optic_ranged_hcog",15,0,0
"","optic_ranged_aog_variable",15,0,0
"","",0,0,0
"munitions_drop","",0,3,0
"","mp_weapon_wingman",3,0,0
"","mp_weapon_shotgun",3,0,0
"","mp_weapon_energy_shotgun",3,0,0
"","mp_weapon_mastiff",3,0,0
"","mp_weapon_alternator_smg",3,0,0
"","mp_weapon_r97",5,0,0
"","mp_weapon_pdw",4,0,0
"","mp_weapon_vinson",5,0,0
"","mp_weapon_auto_hemlok",3,0,0
"","mp_weapon_rspn101",5,0,0
"","mp_weapon_energy_ar",3,0,0
"","mp_weapon_lmg",5,0,0
"","mp_weapon_g2",4,0,0
"","mp_weapon_dmr",3,0,0
"","mp_weapon_doubletake",3,0,0
"","mp_weapon_volt_smg",4,0,0
"","mp_weapon_bow",3,0,0
"","mp_weapon_dragon_lmg",3,0,0
"","mp_weapon_car",3,0,0
"","mp_weapon_nemesis",3,0,0
"","",0,0,0
"firing_range_all_weapons","",0,0,0
"","mp_weapon_wingman",1,0,0
"","mp_weapon_semipistol",1,0,0
"","mp_weapon_autopistol_fusion",1,0,0
"","mp_weapon_shotgun_pistol",1,0,0
"","mp_weapon_shotgun",1,0,0
"","mp_weapon_energy_shotgun",1,0,0
"","mp_weapon_mastiff",1,0,0
"","mp_weapon_alternator_smg",1,0,0
"","mp_weapon_r97",1,0,0
"","mp_weapon_vinson",1,0,0
"","mp_weapon_rspn101",1,0,0
"","mp_weapon_energy_ar",1,0,0
"","mp_weapon_auto_hemlok",1,0,0
"","mp_weapon_esaw",1,0,0
"","mp_weapon_lstar_crate",1,0,0
"","mp_weapon_pdw",1,0,0
"","mp_weapon_lmg",1,0,0
"","mp_weapon_g2",1,0,0
"","mp_weapon_dmr",1,0,0
"","mp_weapon_defender",1,0,0
"","mp_weapon_doubletake",1,0,0
"","mp_weapon_sentinel",1,0,0
"","mp_weapon_volt_smg",1,0,0
"","mp_weapon_bow_crate",1,0,0
"","mp_weapon_3030_crate",1,0,0
"","mp_weapon_sniper",1,0,0
"","mp_weapon_dragon_lmg",1,0,0
"","mp_weapon_car",1,0,0
"","mp_weapon_nemesis",1,0,0
"","mp_weapon_throwingknife",1,0,0
"","",0,0,0
"firing_range_all_attachments","",0,0,0
"","Attachment_L1",1,0,0
"","Attachment_L2",1,0,0
"","Attachment_L3",1,0,0
"","Attachment_L4",1,0,0
"","corrupted_attachments",1,0,0
"","Attachment_Optics",1,0,0
"","optic_sniper_threat",1,0,0
"","",0,0,0
"firing_range_all_gear","",0,0,0
"","backpack_pickup_lv1",1,0,0
"","backpack_pickup_lv2",1,0,0
"","backpack_pickup_lv3",1,0,0
"","backpack_pickup_lv4_revive_boost",1,0,0
"","incapshield_pickup_lv1",1,0,0
"","incapshield_pickup_lv2",1,0,0
"","incapshield_pickup_lv3",1,0,0
"","incapshield_pickup_lv4_selfrevive",1,0,0
"","armor_pickup_lv1_evolving",1,0,0
"","armor_pickup_lv2_evolving",1,0,0
"","armor_pickup_lv3_evolving",1,0,0
"","armor_pickup_lv4_all_fast",1,0,0
"","armor_pickup_lv5_evolving",1,0,0
"","",0,0,0
"crate_weapons_valentines","",0,0,0
"","mp_weapon_bow_cupid",100,0,0
"","",0,0,0
"ai_loot_drop_healing_small","",0,0,0
"","ai_loot_drop_health_small",1,0,0
"","ai_loot_drop_shield_small",1,0,0
"","",0,0,0
"ai_loot_drop_health_small","",0,0,0
"","health_pickup_health_small",1,0,0
"","",0,0,0
"ai_loot_drop_shield_small","",0,0,0
"","health_pickup_combo_small",1,0,0
"","",0,0,0
"evo_caches","",0,0,0
"","mp_pickup_xp_cache",9,0,0
"","mp_pickup_xp_cache_large",1,0,0
"","",0,0,0
"evo_caches_high","",0,0,0
"","mp_pickup_xp_cache",8,0,0
"","mp_pickup_xp_cache_large",2,0,0
"","",0,0,0
"","",0,0,0
"lifeline_upgrade_carepackage_item_1_door_1","",0,0,0
"","health_pickup_combo_large",100,0,0
"","",0,0,0
"lifeline_upgrade_carepackage_item_2_door_1","",0,0,0
"","mp_ability_mobile_respawn_beacon",100,0,0
"","",0,0,0
"lifeline_upgrade_carepackage_item_2_alt_door_1","",0,0,0
"","health_pickup_combo_full",100,0,0
"","",0,0,0
"lifeline_upgrade_carepackage_door_2","",0,0,0
"","health_pickup_combo_large",50,0,0
"","health_pickup_health_large",50,0,0
"","",0,0,0
"lifeline_upgrade_carepackage_door_3","",0,0,0
"","backpack_pickup_lv4_revive_boost",50,0,0
"","health_pickup_combo_large",50,0,0
"","",0,0,0
"ap_low_ar","",0,0,0
"","mp_weapon_rspn101",1,0,0
"","mp_weapon_auto_hemlok",1,0,0
"","mp_weapon_nemesis",1,0,0
"","",0,0,0
"ap_low_smg","",0,0,0
"","mp_weapon_car",1,0,0
"","mp_weapon_alternator_smg",1,0,0
"","mp_weapon_r97",1,0,0
"","mp_weapon_volt_smg",1,0,0
"","",0,0,0
"ap_med_primary","",0,0,0
"","mp_weapon_rspn101",1,0,0
"","mp_weapon_auto_hemlok",1,0,0
"","mp_weapon_nemesis",1,0,0
"","mp_weapon_esaw",1,0,0
"","mp_weapon_lmg",1,0,0
"","mp_weapon_dragon_lmg",1,0,0
"","",0,0,0
"ap_med_secondary","",0,0,0
"","mp_weapon_car",1,0,0
"","mp_weapon_alternator_smg",1,0,0
"","mp_weapon_r97",1,0,0
"","mp_weapon_volt_smg",1,0,0
"","mp_weapon_shotgun",0,0,0
"","mp_weapon_mastiff",0,0,0
"","mp_weapon_shotgun_pistol",0,0,0
"","mp_weapon_energy_shotgun",0,0,0
"","",0,0,0
"corrupted_attachments","",0,0,0
"","corrupted_mag",21,0,0
"","corrupted_barrel",21,0,0
"","corrupted_laser",21,0,0
"","corrupted_tactical_stock",21,0,0
"","corrupted_stock_sniper",16,0,0
"","",0,0,0
"shield_battery","",0,0,0
"","health_pickup_combo_large",100,0,0
"","",0,0,0
"string","string","float","int","int"
